Id,ChannelType,Address,Attributes.PreferredChannel,User.UserId,User.UserAttributes.FirstName
myendpointid60000,EMAIL,example60000@example.com,Yes,60000,Joe
myendpointid60001,EMAIL,example60001@example.com,Yes,60001,Jane
myendpointid60002,EMAIL,example60002@example.com,Yes,60002,Joe
myendpointid60003,EMAIL,example60003@example.com,Yes,60003,Jane
myendpointid60004,EMAIL,example60004@example.com,Yes,60004,Joe
myendpointid60005,EMAIL,example60005@example.com,Yes,60005,Jane
myendpointid60006,EMAIL,example60006@example.com,Yes,60006,Joe
myendpointid60007,EMAIL,example60007@example.com,Yes,60007,Jane
myendpointid60008,EMAIL,example60008@example.com,Yes,60008,Joe
myendpointid60009,EMAIL,example60009@example.com,Yes,60009,Jane
myendpointid60010,EMAIL,example60010@example.com,Yes,60010,Joe
myendpointid60011,EMAIL,example60011@example.com,Yes,60011,Jane
myendpointid60012,EMAIL,example60012@example.com,Yes,60012,Joe
myendpointid60013,EMAIL,example60013@example.com,Yes,60013,Jane
myendpointid60014,EMAIL,example60014@example.com,Yes,60014,Joe
myendpointid60015,EMAIL,example60015@example.com,Yes,60015,Jane
myendpointid60016,EMAIL,example60016@example.com,Yes,60016,Joe
myendpointid60017,EMAIL,example60017@example.com,Yes,60017,Jane
myendpointid60018,EMAIL,example60018@example.com,Yes,60018,Joe
myendpointid60019,EMAIL,example60019@example.com,Yes,60019,Jane
myendpointid60020,EMAIL,example60020@example.com,Yes,60020,Joe
myendpointid60021,EMAIL,example60021@example.com,Yes,60021,Jane
myendpointid60022,EMAIL,example60022@example.com,Yes,60022,Joe
myendpointid60023,EMAIL,example60023@example.com,Yes,60023,Jane
myendpointid60024,EMAIL,example60024@example.com,Yes,60024,Joe
myendpointid60025,EMAIL,example60025@example.com,Yes,60025,Jane
myendpointid60026,EMAIL,example60026@example.com,Yes,60026,Joe
myendpointid60027,EMAIL,example60027@example.com,Yes,60027,Jane
myendpointid60028,EMAIL,example60028@example.com,Yes,60028,Joe
myendpointid60029,EMAIL,example60029@example.com,Yes,60029,Jane
myendpointid60030,EMAIL,example60030@example.com,Yes,60030,Joe
myendpointid60031,EMAIL,example60031@example.com,Yes,60031,Jane
myendpointid60032,EMAIL,example60032@example.com,Yes,60032,Joe
myendpointid60033,EMAIL,example60033@example.com,Yes,60033,Jane
