Id,ChannelType,Address,Attributes.PreferredChannel,User.UserId,User.UserAttributes.FirstName
myendpointid50001,EMAIL,example50001@example.com,Yes,50001,Jane
myendpointid50002,EMAIL,example50002@example.com,Yes,50002,Joe
myendpointid50003,EMAIL,example50003@example.com,Yes,50003,Jane
myendpointid50004,EMAIL,example50004@example.com,Yes,50004,Joe
myendpointid50005,EMAIL,example50005@example.com,Yes,50005,Jane
myendpointid50006,EMAIL,example50006@example.com,Yes,50006,Joe
myendpointid50007,EMAIL,example50007@example.com,Yes,50007,Jane
myendpointid50008,EMAIL,example50008@example.com,Yes,50008,Joe
myendpointid50009,EMAIL,example50009@example.com,Yes,50009,Jane
myendpointid50010,EMAIL,example50010@example.com,Yes,50010,Joe
myendpointid50011,EMAIL,example50011@example.com,Yes,50011,Jane
myendpointid50012,EMAIL,example50012@example.com,Yes,50012,Joe
myendpointid50013,EMAIL,example50013@example.com,Yes,50013,Jane
myendpointid50014,EMAIL,example50014@example.com,Yes,50014,Joe
myendpointid50015,EMAIL,example50015@example.com,Yes,50015,Jane
myendpointid50016,EMAIL,example50016@example.com,Yes,50016,Joe
myendpointid50017,EMAIL,example50017@example.com,Yes,50017,Jane
myendpointid50018,EMAIL,example50018@example.com,Yes,50018,Joe
myendpointid50019,EMAIL,example50019@example.com,Yes,50019,Jane
myendpointid50020,EMAIL,example50020@example.com,Yes,50020,Joe
myendpointid50021,EMAIL,example50021@example.com,Yes,50021,Jane
myendpointid50022,EMAIL,example50022@example.com,Yes,50022,Joe
myendpointid50023,EMAIL,example50023@example.com,Yes,50023,Jane
myendpointid50024,EMAIL,example50024@example.com,Yes,50024,Joe
myendpointid50025,EMAIL,example50025@example.com,Yes,50025,Jane
myendpointid50026,EMAIL,example50026@example.com,Yes,50026,Joe
myendpointid50027,EMAIL,example50027@example.com,Yes,50027,Jane
myendpointid50028,EMAIL,example50028@example.com,Yes,50028,Joe
myendpointid50029,EMAIL,example50029@example.com,Yes,50029,Jane
myendpointid50030,EMAIL,example50030@example.com,Yes,50030,Joe
myendpointid50031,EMAIL,example50031@example.com,Yes,50031,Jane
myendpointid50032,EMAIL,example50032@example.com,Yes,50032,Joe
myendpointid50033,EMAIL,example50033@example.com,Yes,50033,Jane
myendpointid50034,EMAIL,example50034@example.com,Yes,50034,Joe
myendpointid50035,EMAIL,example50035@example.com,Yes,50035,Jane
myendpointid50036,EMAIL,example50036@example.com,Yes,50036,Joe
myendpointid50037,EMAIL,example50037@example.com,Yes,50037,Jane
myendpointid50038,EMAIL,example50038@example.com,Yes,50038,Joe
myendpointid50039,EMAIL,example50039@example.com,Yes,50039,Jane
myendpointid50040,EMAIL,example50040@example.com,Yes,50040,Joe
myendpointid50041,EMAIL,example50041@example.com,Yes,50041,Jane
myendpointid50042,EMAIL,example50042@example.com,Yes,50042,Joe
myendpointid50043,EMAIL,example50043@example.com,Yes,50043,Jane
myendpointid50044,EMAIL,example50044@example.com,Yes,50044,Joe
myendpointid50045,EMAIL,example50045@example.com,Yes,50045,Jane
myendpointid50046,EMAIL,example50046@example.com,Yes,50046,Joe
myendpointid50047,EMAIL,example50047@example.com,Yes,50047,Jane
myendpointid50048,EMAIL,example50048@example.com,Yes,50048,Joe
myendpointid50049,EMAIL,example50049@example.com,Yes,50049,Jane
myendpointid50050,EMAIL,example50050@example.com,Yes,50050,Joe
myendpointid50051,EMAIL,example50051@example.com,Yes,50051,Jane
myendpointid50052,EMAIL,example50052@example.com,Yes,50052,Joe
myendpointid50053,EMAIL,example50053@example.com,Yes,50053,Jane
myendpointid50054,EMAIL,example50054@example.com,Yes,50054,Joe
myendpointid50055,EMAIL,example50055@example.com,Yes,50055,Jane
myendpointid50056,EMAIL,example50056@example.com,Yes,50056,Joe
myendpointid50057,EMAIL,example50057@example.com,Yes,50057,Jane
myendpointid50058,EMAIL,example50058@example.com,Yes,50058,Joe
myendpointid50059,EMAIL,example50059@example.com,Yes,50059,Jane
myendpointid50060,EMAIL,example50060@example.com,Yes,50060,Joe
myendpointid50061,EMAIL,example50061@example.com,Yes,50061,Jane
